,ensembl_gene_id,ensembl_transcript_id,hgnc_symbol
121966,ENSG00000040633,ENST00000571362,PHF23
4921,ENSG00000040933,ENST00000409016,INPP4A
142102,ENSG00000041353,ENST00000586570,RAB27B
107597,ENSG00000041357,ENST00000560217,PSMA4
104929,ENSG00000041515,ENST00000356711,MYO16
47361,ENSG00000041802,ENST00000265245,LSG1
8662,ENSG00000041880,ENST00000431474,PARP3
72156,ENSG00000041982,ENST00000350763,TNC
19408,ENSG00000041988,ENST00000054650,THAP3
140185,ENSG00000042062,ENST00000327979,RIPOR3
106976,ENSG00000042088,ENST00000554976,TDP1
78227,ENSG00000042286,ENST00000373248,AIFM2
105573,ENSG00000042317,ENST00000556553,SPATA7
73108,ENSG00000042429,ENST00000640804,MED17
15816,ENSG00000042445,ENST00000295802,RETSAT
15856,ENSG00000042493,ENST00000453973,CAPG
150413,ENSG00000042753,ENST00000352203,AP2S1
73739,ENSG00000042832,ENST00000523901,TG
86084,ENSG00000042980,ENST00000523379,ADAM28
74544,ENSG00000043039,ENST00000281437,BARX2
42492,ENSG00000043093,ENST00000292782,DCUN1D1
47947,ENSG00000043143,ENST00000431355,JADE2
42843,ENSG00000043462,ENST00000046794,LCP2
20235,ENSG00000043514,ENST00000648678,TRIT1
53138,ENSG00000044090,ENST00000265348,CUL7
38165,ENSG00000044115,ENST00000517980,CTNNA1
78635,ENSG00000044446,ENST00000379942,PHKA2
69468,ENSG00000044459,ENST00000484374,CNTLN
77649,ENSG00000044574,ENST00000324460,HSPA5
147776,ENSG00000046604,ENST00000261590,DSG2
39394,ENSG00000046647,ENST00000680255,GEMIN8
39712,ENSG00000046651,ENST00000485052,OFD1
39373,ENSG00000046653,ENST00000316715,GPM6B
